Date,Temp_avg,Relative_Humidity,Wind_kmh,Precipitation_mm,Week_Number,Year
2012-01-08,29.114285714285717,76.62857142857142,4.571428571428571,1.4,1,2012
2012-01-15,27.842857142857145,83.84285714285714,4.714285714285714,73.5,2,2012
2012-01-22,28.385714285714283,81.95714285714287,7.057142857142857,50.400000000000006,3,2012
2012-01-29,27.87142857142857,82.57142857142857,5.6571428571428575,88.10000000000001,4,2012
2012-02-05,28.271428571428572,81.58571428571429,5.8,19.4,5,2012
2012-02-12,28.685714285714287,78.45714285714287,5.171428571428572,46.699999999999996,6,2012
2012-02-19,27.842857142857145,84.6,5.885714285714286,83.55,7,2012
2012-02-26,28.0,85.05714285714285,4.957142857142857,220.69285714285712,8,2012
2012-03-04,27.5,86.58571428571429,5.885714285714286,112.85714285714283,9,2012
2012-03-11,28.314285714285713,82.28571428571429,7.028571428571429,38.60000000000001,10,2012
2012-03-18,27.557142857142857,86.02857142857144,4.957142857142857,66.15,11,2012
2012-03-25,29.342857142857145,80.48571428571428,7.042857142857143,0.0,12,2012
2012-04-01,27.900000000000002,86.01428571428572,6.142857142857143,42.300000000000004,13,2012
2012-04-08,28.357142857142858,85.62857142857142,5.285714285714286,11.3,14,2012
2012-04-15,28.3,85.92857142857143,6.585714285714286,42.6,15,2012
2012-04-22,28.357142857142858,87.38571428571429,5.828571428571428,15.200000000000001,16,2012
2012-04-29,29.5,82.71428571428571,7.714285714285714,0.6,17,2012
2012-05-06,29.271428571428572,81.51428571428572,7.642857142857143,0.8,18,2012
2012-05-13,28.914285714285715,83.25714285714285,4.8,0.0,19,2012
2012-05-20,29.942857142857143,77.85714285714286,8.071428571428571,3.4,20,2012
2012-05-27,28.6,80.97142857142856,5.614285714285714,2.0,21,2012
2012-06-03,29.37142857142857,77.31428571428572,7.442857142857143,34.2,22,2012
2012-06-10,29.885714285714283,76.94285714285715,7.271428571428571,4.6000000000000005,23,2012
2012-06-17,29.771428571428572,75.67142857142858,6.871428571428572,0.4,24,2012
2012-06-24,29.157142857142855,74.65714285714286,7.2,6.199999999999999,25,2012
2012-07-01,28.47142857142857,78.52857142857144,6.4,0.0,26,2012
2012-07-08,27.957142857142856,79.60000000000001,6.8428571428571425,15.899999999999999,27,2012
2012-07-15,28.342857142857145,79.3,7.714285714285714,6.0,28,2012
2012-07-22,27.3,85.3,6.257142857142857,12.600000000000001,29,2012
2012-07-29,29.17142857142857,74.82857142857142,7.271428571428571,0.0,30,2012
2012-08-05,28.67142857142857,78.5,6.585714285714286,4.6,31,2012
2012-08-12,29.157142857142855,74.15714285714286,8.214285714285714,0.0,32,2012
2012-08-19,28.32857142857143,82.75714285714285,5.857142857142857,3.8,33,2012
2012-08-26,27.271428571428572,85.57142857142857,5.785714285714286,30.0,34,2012
2012-09-02,28.5,81.38571428571429,6.414285714285714,46.6,35,2012
2012-09-09,28.342857142857145,81.21428571428571,5.985714285714286,8.6,36,2012
2012-09-16,27.842857142857145,80.55714285714285,5.957142857142857,90.60000000000001,37,2012
2012-09-23,28.157142857142855,80.68571428571428,5.442857142857143,45.3,38,2012
2012-09-30,28.37142857142857,78.94285714285715,5.8999999999999995,12.8,39,2012
2012-10-07,28.87142857142857,78.92857142857143,8.785714285714286,7.6,40,2012
2012-10-14,27.557142857142857,85.14285714285714,5.757142857142857,19.0,41,2012
2012-10-21,27.157142857142855,86.91428571428571,4.771428571428571,88.4,42,2012
2012-10-28,27.785714285714285,83.7,5.285714285714286,8.6,43,2012
2012-11-04,26.95714285714286,89.10000000000001,3.8285714285714287,15.8,44,2012
2012-11-11,26.585714285714285,89.67142857142858,4.6000000000000005,36.1,45,2012
2012-11-18,28.17142857142857,84.45714285714287,4.614285714285714,26.0,46,2012
2012-11-25,27.571428571428573,85.85714285714286,5.914285714285714,13.6,47,2012
2012-12-02,27.32857142857143,87.45714285714287,5.128571428571428,13.58,48,2012
2012-12-09,26.685714285714287,89.42857142857143,4.5285714285714285,16.419999999999998,49,2012
2012-12-16,26.514285714285712,89.88571428571429,4.3,62.6,50,2012
2012-12-23,26.314285714285713,89.14285714285714,4.085714285714286,5.2,51,2012
